#New xsec file, equivalent to XSection-MC15-13TeV.data at the moment of creation but with amcatnlopythia8 among showering algorithms
# svn co $SVNOFF/PhysicsAnalysis/SUSYPhys/SUSYTools/trunk, taken on 02.06.2015
# cat susy_crosssections_13TeV.txt|awk '{if ($1 != "" && $1 != "#") { s=$3*$5 ; print $1 "   " s "   " $4 " "}else{print $0}}'
# cross-sections are in pb

################################################################################################################   0
# BSM tttt ttZ' signals (s+t channel processes), ct=3, theta=0.79
503575   0.0410    1.0      pythia
503576   0.0169    1.0      pythia
503577   0.00794   1.0      pythia
503578   0.00236   1.0      pythia
503579   0.000927  1.0      pythia
503580   0.000438  1.0      pythia

# BSM tjtt tjZ' signals (single-top-like jet-associated production), ct=3, theta=0.79
510173   0.0143    1.0      pythia
510174   0.00546   1.0      pythia
510175   0.00236   1.0      pythia
510176   0.000585  1.0      pythia
510177   0.000194  1.0      pythia
510178   0.000080  1.0      pythia

# BSM tWtt tWZ' signals (single-top-like W-boson-associated production), ct=3, theta=0.79
510179   0.0126    1.0      pythia
510180   0.00521   1.0      pythia
510181   0.00236   1.0      pythia
510182   0.000604  1.0      pythia
510183   0.000198  1.0      pythia
510184   0.0000796 1.0      pythia


# ttbar: kfactor from here: https://twiki.cern.ch/twiki/bin/view/AtlasProtected/MC15TTbarSamplesPMG
410000   377.9932  1.1949   pythia
410001	 377.9932  1.1949   pythia
410002	 377.9932  1.1949   pythia
410003	 377.3090  1.1970   herwigpp
410004	 378.7006  1.1926   herwigpp
410006   378.7169  1.1926   pythia8
# allhad
410007   317.3591  1.1977   pythia
410008	 317.3591  1.1977   herwigpp
# dilepton
410009   73.33     1.1949   pythia
# trilepton-filtered sample - see ANALYSISTO-136
343637   18.2976   1.1949   pythia

# non-allhad
410159   369.7419  1.2236   amcatnlopythia8
# allhad
410160   309.6040  1.2248   amcatnlopythia8
### warning: dummy cross-sections!!
410161  317.3591  1.1977  pythia
410162  317.3591  1.1977  pythia
410163  317.3591  1.1977  herwigpp
# non-allhad
410500   397.2431  1.13896  pythia8

# WARNING
## new Powheg+P8 samples
410501   397.11    1.1390   pythia8
410503   76.93     1.1392   pythia8
410504   22.90     1.1391   pythia8
410505   4.3082    1.1392   pythia8
#colour flipped
410248   396.94    1.1390   pythia8
# allhad samples, without noC W decays
410502   249.81    1.1390   pythia8
410506   249.89    1.1390   pythia8
410509   15.22     1.1390   pythia8
# allhad samples, noC W decays
410531   83.270    1.1390   pythia8
410532   83.261    1.1390   pythia8
410533   5.035     1.1390   pythia8
# nonallhad samples, C/B-filtered, boosted
410507   1.1237    1.1391   pythia8
410508   2.3424    1.1391   pythia8

## Powheg+P8 samples, hdamp=1.5/3.0mt, A14 tune var 3c up/down
# nonallhad samples
410511   448.3933  1.0088   pythia8
410512   348.3145  1.2988   pythia8
# dilepton samples - cross-sections to be checked, not yet in central pages
410515   86.873    1.0088   pythia8
410516   67.474    1.2989   pythia8
# nonallhad b-filtered samples - cross-sections to be checked, not yet in central pages
410517   25.861    1.0087   pythia8
410518   20.087    1.2986   pythia8
# dilepton b-filtered samples - cross-sections unknown! - not yet in central pages
410519   5.1368    1.0089   pythia8
410520   3.6155    1.2989   pythia8
# allhad samples, full phase-space - not yet generated - cross-sections unknown!
# nonallhad samples, C/B-filtered, boosted - cross-sections unknown! not yet in central pages - not yet in central pages
410523   1.5352   1.0088   pythia8
410524   0.87415  1.2988   pythia8
410568   3.1760   1.0088   pythia8
410569   1.8315   1.2988   pythia8
# allhad boosted samples, without noC W decays
410521   281.98    1.0088   pythia8
410522   219.10    1.2988   pythia8
# allhad boosted samples, noC W decays
410534   93.972    1.0088   pythia8
410535   73.005    1.2988   pythia8
# single-lepton hdamp=3.0mt
410480   320.006   1.13980  pythia8
410482   76.9438   1.13980  pythia8

# hdamp 1.3, 1.8 and 2.0 mt
411350 319.434 1.1330 pythia8
